City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Pisco,PE,-13.7,-76.2167,60.85,82,0,14.97,clear sky
79,Barrow,US,71.2906,-156.7887,8.62,85,0,9.22,clear sky
80,Correntina,BR,-13.3433,-44.6367,73.85,39,21,3.91,few clouds
81,Yellowknife,CA,62.456,-114.3525,28.92,54,40,5.75,scattered clouds
82,Abadszalok,HU,47.4667,20.6,55.38,58,100,6.29,overcast clouds
83,Labuan,MY,5.2767,115.2417,82.76,83,20,3.44,few clouds
84,Bogande,BF,12.9714,-0.1436,79.23,66,6,9.6,clear sky
85,Kloulklubed,PW,7.0419,134.2556,82.9,75,98,9.66,overcast clouds
86,Arraial Do Cabo,BR,-22.9661,-42.0278,70.54,84,100,9.89,overcast clouds
87,Sinegorye,RU,62.0788,150.477,10.04,90,43,1.45,scattered clouds
88,Changping,CN,40.2186,116.2197,58.64,16,9,8.88,clear sky
89,Torbay,CA,47.6666,-52.7314,50.27,93,75,9.22,broken clouds
90,Iqaluit,CA,63.7506,-68.5145,33.53,100,100,5.75,light intensity drizzle
91,Pokrovsk,UA,48.282,37.1758,37.92,70,80,8.34,broken clouds
92,Grindavik,IS,63.8424,-22.4338,37.87,75,75,35.68,broken clouds
93,Atuona,PF,-9.8,-139.0333,76.78,74,11,12.01,few clouds
94,Broken Hill,AU,-31.95,141.4333,68.05,37,28,1.79,scattered clouds
95,Asmar,AF,35.0333,71.3581,64.02,33,0,5.86,clear sky
96,Valkeala,FI,60.9401,26.7979,50.4,93,100,10.36,overcast clouds
97,Yar-Sale,RU,66.8333,70.8333,38.12,88,100,4.38,overcast clouds
98,Broome,US,42.2506,-75.833,55.78,66,20,8.05,few clouds
99,Ambilobe,MG,-13.2,49.05,69.66,72,33,4.16,scattered clouds
100,Lubben,DE,51.95,13.9,59.25,94,98,8.77,overcast clouds
101,Alice Springs,AU,-23.7,133.8833,80.15,32,0,11.5,clear sky
102,Jalu,LY,29.0331,21.5482,67.3,67,0,9.98,clear sky
103,Mana,GF,5.6592,-53.7767,79.86,86,40,9.86,scattered clouds
104,Porto Velho,BR,-8.7619,-63.9039,82.45,69,40,2.64,scattered clouds
105,Port Alfred,ZA,-33.5906,26.891,63.18,95,100,5.01,overcast clouds
106,Kaeo,NZ,-35.1,173.7833,71.33,71,6,8.41,clear sky
107,Esperance,AU,-33.8667,121.9,60.64,64,61,12.37,broken clouds
108,Salou,ES,41.0766,1.1416,67.28,89,4,3.44,clear sky
109,Katsuura,JP,35.1333,140.3,73.2,68,5,13.38,clear sky
110,San Patricio,US,28.017,-97.5169,82.54,69,5,10.8,clear sky
111,Codrington,AU,-38.2667,141.9667,56.95,69,48,7.65,scattered clouds
112,Longyearbyen,SJ,78.2186,15.6401,22.84,74,0,13.8,clear sky
113,Sorkjosen,NO,69.8,20.9333,48.2,71,75,16.11,light rain
114,Teguise,ES,29.0605,-13.564,70.02,73,0,12.66,light rain
115,Acajutla,SV,13.5928,-89.8275,80.8,80,100,1.34,overcast clouds
116,Hilo,US,19.7297,-155.09,88.29,78,100,10.36,overcast clouds
117,Port Hardy,CA,50.6996,-127.4199,60.98,77,20,0.0,few clouds
118,Alta Floresta,BR,-9.8756,-56.0861,78.57,64,99,4.63,overcast clouds
119,Avarua,CK,-21.2078,-159.775,80.65,65,4,14.97,clear sky
120,Mendoza,AR,-32.8908,-68.8272,65.73,26,0,3.44,clear sky
121,Saint George,US,37.1041,-113.5841,84.79,18,0,10.36,clear sky
122,Hongjiang,CN,27.11,109.9956,69.93,48,2,4.0,clear sky
123,Vallenar,CL,-28.5708,-70.7581,62.47,61,0,2.21,clear sky
124,Shakawe,BW,-18.3667,21.85,70.97,22,100,5.91,overcast clouds
125,Vila Velha,BR,-20.3297,-40.2925,75.15,79,75,11.5,broken clouds
126,San Cristobal,VE,7.7669,-72.225,73.58,91,12,2.28,few clouds
127,Yichun,CN,47.7,128.9,40.93,37,0,11.92,clear sky
128,Waipawa,NZ,-41.4122,175.5153,56.07,58,77,6.11,broken clouds
129,Dukat,RU,62.55,155.55,6.01,90,38,2.66,scattered clouds
130,Zhigansk,RU,66.7697,123.3711,21.06,94,100,10.47,overcast clouds
131,Tynda,RU,55.1667,124.7167,28.89,79,100,12.73,overcast clouds
132,Coquimbo,CL,-29.9533,-71.3436,53.33,100,20,8.05,few clouds
133,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,75,6.91,broken clouds
134,Nacala,MZ,-14.5428,40.6728,70.11,87,0,4.81,clear sky
135,Atherton,GB,53.5237,-2.4935,51.75,87,98,3.0,overcast clouds
136,Mahebourg,MU,-20.4081,57.7,70.09,78,75,6.91,broken clouds
137,Callaway,US,30.153,-85.5699,73.33,73,0,4.61,clear sky
138,Kodiak,US,57.79,-152.4072,53.11,71,100,5.75,overcast clouds
139,Dongobesh,TZ,-4.0667,35.3833,53.04,92,98,5.75,overcast clouds
140,Cayenne,GF,4.9333,-52.3333,77.04,94,0,0.0,clear sky
141,Ilulissat,GL,69.2167,-51.1,30.22,37,51,24.16,broken clouds
142,Ostrovnoy,RU,68.0531,39.5131,41.94,94,100,14.76,overcast clouds
143,Cherskiy,RU,68.75,161.3,12.52,94,100,8.23,light snow
144,Dutse,NG,11.7594,9.3392,73.02,32,100,2.98,overcast clouds
145,Cidreira,BR,-30.1811,-50.2056,63.39,86,99,20.36,overcast clouds
146,Mount Gambier,AU,-37.8333,140.7667,55.31,88,75,5.75,shower rain
147,Buchanan,LR,5.8808,-10.0467,75.63,89,100,4.99,moderate rain
148,Lisakovsk,KZ,52.5369,62.4936,37.42,74,8,7.34,clear sky
