City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sawtell,AU,2022-10-14 19:23:53,-30.3833,153.1,57.22,72,0,9.22
68,Tombouctou,ML,2022-10-14 19:23:53,20.0,-3.0,91.81,10,76,8.79
69,Lata,PT,2022-10-14 19:23:53,40.1629,-8.3327,65.07,91,5,3.2
70,Okitipupa,NG,2022-10-14 19:23:54,6.5047,4.7839,73.87,97,100,2.46
71,Paamiut,GL,2022-10-14 19:23:54,61.994,-49.6678,34.38,57,7,21.74
72,San Cristobal,VE,2022-10-14 19:23:54,7.7669,-72.225,80.78,55,99,4.12
73,Mokhsogollokh,RU,2022-10-14 19:23:54,61.4681,128.9203,20.5,99,94,2.93
74,Gushikawa,JP,2022-10-14 19:23:55,26.3544,127.8686,80.19,89,75,12.66
75,Esperance,AU,2022-10-14 19:23:55,-33.8667,121.9,50.58,87,0,8.32
76,Vao,NC,2022-10-14 19:23:55,-22.6667,167.4833,69.17,63,6,13.09
77,Barrow,US,2022-10-14 19:23:55,71.2906,-156.7887,26.62,80,20,9.22
78,Ilulissat,GL,2022-10-14 19:19:21,69.2167,-51.1,26.62,54,75,10.36
79,Sovetskiy,RU,2022-10-14 19:23:56,61.3614,63.5842,40.05,87,100,4.68
80,Mingshui,CN,2022-10-14 19:23:56,36.7167,117.5,57.61,59,76,2.73
81,Mahebourg,MU,2022-10-14 19:23:56,-20.4081,57.7,72.25,73,40,13.8
82,Harqalah,TN,2022-10-14 19:23:57,36.0303,10.509,76.86,53,20,10.36
83,Necochea,AR,2022-10-14 19:23:57,-38.5473,-58.7368,55.09,43,6,14.45
84,Manokwari,ID,2022-10-14 19:23:57,-0.8667,134.0833,78.91,80,100,2.33
85,Thompson,CA,2022-10-14 19:23:57,55.7435,-97.8558,33.96,100,100,10.36
86,Puerto Escondido,MX,2022-10-14 19:23:58,15.85,-97.0667,86.83,54,40,8.05
87,Eucaliptus,BO,2022-10-14 19:23:58,-17.5833,-67.5167,61.57,22,98,18.97
88,Gao,ML,2022-10-14 19:23:58,16.6362,1.637,93.24,17,97,2.04
89,Amuntai,ID,2022-10-14 19:23:58,-2.4177,115.2494,73.85,98,100,0.56
90,Chuy,UY,2022-10-14 19:23:59,-33.6971,-53.4616,58.57,48,8,12.46
91,Riyadh,SA,2022-10-14 19:20:05,24.6877,46.7219,78.94,17,0,7.83
92,Vila Velha,BR,2022-10-14 19:24:59,-20.3297,-40.2925,82.35,78,20,16.11
93,Pacific Grove,US,2022-10-14 19:22:21,36.6177,-121.9166,64.81,96,100,6.91
94,Horta,PT,2022-10-14 19:25:00,38.5333,-28.6333,73.04,82,75,14.97
95,Saint-Philippe,RE,2022-10-14 19:25:00,-21.3585,55.7679,69.39,78,32,10.11
96,Alyangula,AU,2022-10-14 19:25:00,-13.8483,136.4192,80.22,80,97,6.62
97,Pella,RU,2022-10-14 19:25:00,59.7775,30.8181,48.25,81,100,8.03
98,Bawku,GH,2022-10-14 19:25:01,11.0616,-0.2417,78.22,75,99,6.4
99,Kodiak,US,2022-10-14 19:25:01,57.79,-152.4072,47.71,71,100,14.97
100,Acobamba,PE,2022-10-14 19:25:02,-11.3525,-75.6594,63.43,61,61,10.96
101,Fagerstrand,NO,2022-10-14 19:25:02,59.7347,10.5931,52.11,1,100,1.99
102,Talnakh,RU,2022-10-14 19:25:02,69.4865,88.3972,34.21,99,100,8.37
103,Cidreira,BR,2022-10-14 19:25:03,-30.1811,-50.2056,62.44,72,95,16.8
104,Saint-Augustin,CA,2022-10-14 19:25:03,51.226,-58.6502,56.59,69,100,9.51
105,Kautokeino,NO,2022-10-14 19:25:03,69.0125,23.0412,36.39,99,100,4.07
106,Port Alfred,ZA,2022-10-14 19:25:03,-33.5906,26.891,62.19,97,100,14.05
107,Kruisfontein,ZA,2022-10-14 19:25:04,-34.0033,24.7314,59.88,93,100,14.65
108,Vung Tau,VN,2022-10-14 19:25:05,10.346,107.0843,75.33,87,100,9.8
109,Lebu,CL,2022-10-14 19:21:24,-37.6167,-73.65,55.04,74,0,21.34
110,Hithadhoo,MV,2022-10-14 19:25:06,-0.6,73.0833,81.41,75,13,17.34
111,Avarua,CK,2022-10-14 19:25:07,-21.2078,-159.775,77.05,83,75,9.22
112,Omidiyeh,IR,2022-10-14 19:25:07,30.7597,49.705,88.36,16,0,5.88
113,Pevek,RU,2022-10-14 19:25:08,69.7008,170.3133,12.38,90,99,9.75
114,Charters Towers,AU,2022-10-14 19:25:08,-20.1,146.2667,67.75,95,30,6.15
115,Kaeo,NZ,2022-10-14 19:25:08,-35.1,173.7833,54.32,95,45,12.91
116,Yenagoa,NG,2022-10-14 19:25:09,4.9247,6.2642,71.58,95,100,2.84
117,Lazaro Cardenas,MX,2022-10-14 19:25:09,17.9583,-102.2,84.18,76,91,5.44
118,Jalu,LY,2022-10-14 19:25:09,29.0331,21.5482,77.23,65,93,19.28
119,Weihai,CN,2022-10-14 19:25:10,37.5017,122.1136,60.39,75,100,1.92
120,Coahuayana,MX,2022-10-14 19:25:10,18.7333,-103.6833,86.47,73,46,5.19
121,Antofagasta,CL,2022-10-14 19:25:11,-23.65,-70.4,61.88,65,7,7.27
122,Luganville,VU,2022-10-14 19:25:11,-15.5333,167.1667,76.14,79,100,7.85
123,Faanui,PF,2022-10-14 19:25:12,-16.4833,-151.75,78.91,74,27,10.27
124,Kavieng,PG,2022-10-14 19:25:12,-2.5744,150.7967,81.54,76,9,10.45
125,Kijang,KR,2022-10-14 19:25:12,35.2442,129.2139,56.93,82,7,7.23
126,Shakhtinsk,KZ,2022-10-14 19:25:13,49.71,72.5872,49.08,38,100,6.26
127,Plouzane,FR,2022-10-14 19:25:13,48.3833,-4.6167,57.25,100,75,9.22
128,Chokurdakh,RU,2022-10-14 19:25:13,70.6333,147.9167,13.3,95,99,7.11
129,Airai,TL,2022-10-14 19:25:14,-8.9266,125.4092,60.31,87,75,2.04
130,Enumclaw,US,2022-10-14 19:20:21,47.2043,-121.9915,70.83,59,56,5.48
131,Ahipara,NZ,2022-10-14 19:25:14,-35.1667,173.1667,55.98,72,50,9.89
132,Husavik,IS,2022-10-14 19:25:14,66.0449,-17.3389,36.81,96,100,18.77
133,Sitka,US,2022-10-14 19:25:15,57.0531,-135.33,48.09,76,75,0.0
134,Ribeira Grande,PT,2022-10-14 19:25:15,38.5167,-28.7,73.8,73,75,14.97
135,Clyde River,CA,2022-10-14 19:25:15,70.4692,-68.5914,26.83,86,75,0.0
